Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split
tx_0000AHHvYFXVCoGYzmvVUf,11/03/2022,01:43:27,Faster payment,S Ali,,Transfers,36.00,GBP,36.00,GBP,S Ali,,,S Ali,
tx_0000AHNlt7aO8dCUO72Dar,13/03/2022,21:23:27,Card payment,Charcoal Chicken,🍽,Eating out,-9.60,GBP,-9.60,GBP,,188b Roundhay Road,,CHARCOAL CHICKEN       LEEDS         GBR,
tx_0000AHP8hwbZ7K9FMWWEwz,14/03/2022,13:13:51,Card payment,Yaadgaar Sweet Centre,🍬,Eating out,-7.99,GBP,-7.99,GBP,,89 Harehills Road,,YAADGAAR SWEET CENTRE  LEEDS         GBR,
tx_0000AHPcXDKtZHoAgzWNZR,14/03/2022,18:48:04,Card payment,Deliveroo,🍝🦘,Eating out,-25.88,GBP,-25.88,GBP,,,,DELIVEROO              +442036999977 GBR,
tx_0000AHRaQxVXh2HDAs00Cv,15/03/2022,17:33:57,Card payment,First Bus,🚌,Transport,-5.20,GBP,-5.20,GBP,,,,First Bus - Mobile     London        GBR,
tx_0000AHfLFAWkgODDndpTGr,22/03/2022,08:49:42,Faster payment,S Ali,,Transfers,20.00,GBP,20.00,GBP,S Ali,,,S Ali,
tx_0000AHfLFcS6rEptaTy1cP,22/03/2022,08:49:47,Card payment,Netflix,📺,Entertainment,-13.99,GBP,-13.99,GBP,,,,NETFLIX.COM            18665797172   GBR,
tx_0000AHkFAN5gusCiYtOZ4D,24/03/2022,17:35:09,Faster payment,S Ali,,Transfers,50.00,GBP,50.00,GBP,S Ali,,,S Ali,
tx_0000AHkLn57EHUG4fIqNU2,24/03/2022,18:49:23,Card payment,Next,👕,Shopping,-42.10,GBP,-42.10,GBP,,Conway Road,,NEXT RETAIL LTD        LEEDS         GBR,
tx_0000AHlWeEWDFF5ap08blh,25/03/2022,08:25:45,Faster payment,S Ali,,Transfers,20.00,GBP,20.00,GBP,S Ali,,,S Ali,
tx_0000AHmikBfEAEs9jusSXZ,25/03/2022,22:16:00,Card payment,PayPal,💸,Finances,-10.18,GBP,-10.18,GBP,,2 Whittaker Avenue,,PAYPAL *PAYPAL CREDIT  35314369001   GBR,
tx_0000AHoJBuDwOHi03p54DZ,26/03/2022,16:39:06,Card payment,Apple,🍎 ,Bills,-4.49,GBP,-4.49,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AHpwH5uYSJi4wy4hnN,27/03/2022,11:31:45,Card payment,Google,💻,Bills,-9.72,GBP,-9.72,GBP,,70 Sir John Rogerson's Quay,,GOOGLE *Colab          G.CO/HELPPAY# IRL,
tx_0000AHrhdCBWhVQR94iMLJ,28/03/2022,07:57:05,Card payment,Apple,🍎 ,Bills,-6.99,GBP,-6.99,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AHtkNnYWg22IEEJFuj,29/03/2022,07:37:20,Faster payment,S Ali,,Transfers,40.00,GBP,40.00,GBP,S Ali,,,S Ali,
tx_0000AHuDGoAAuysYNY0IKZ,29/03/2022,13:01:01,Direct Debit,EE,,Bills,-38.15,GBP,-38.15,GBP,Q21513569309004432,,,Q21513569309004432,
tx_0000AHuEdvECut7osInTZy,29/03/2022,13:16:24,Faster payment,S Ali,,Transfers,4.00,GBP,4.00,GBP,S Ali,,,S Ali,
tx_0000AHuEflN0XW4HS2TaYz,29/03/2022,13:16:44,Card payment,Apple,🍎 ,Bills,-8.99,GBP,-8.99,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AI0yTPEeltJqlBqlZR,01/04/2022,19:18:12,Faster payment,S Ali,,Transfers,50.00,GBP,50.00,GBP,S Ali,,,S Ali,
tx_0000AI12PZtrZuqV0Hdg37,01/04/2022,20:02:20,Faster payment,ALI A & GHAFFAR,,Transfers,20.00,GBP,20.00,GBP,Monzo shahzar,,,Monzo shahzar,
tx_0000AI14kzFshgeIeP6UAz,01/04/2022,20:28:37,Card payment,Tesco,🍏 ,Groceries,-25.68,GBP,-25.68,GBP,,361 Roundhay Road,,TESCO STORE 2814       LEEDS         GBR,
tx_0000AI15jAhtFsBaRJwnBJ,01/04/2022,20:39:29,Card payment,Uber,🚖,Transport,-4.70,GBP,-4.70,GBP,,2 Leman Street,,UBER   * PENDING       London        GBR,
tx_0000AI2TpPgV4dgT3RUemX,02/04/2022,12:44:15,Card payment,Cha Cha Chai,🍽,Eating out,-5.00,GBP,-5.00,GBP,,WHITE ROSE SHOPPING CENTR,,CHA CHA CHAI           LEEDS LS11    GBR,
tx_0000AI37SHGSD4mhcNL1c1,02/04/2022,20:08:16,Card payment,Disney+,🐭,Entertainment,-7.99,GBP,-7.99,GBP,,,,DISNEY PLUS            LONDON        GBR,
tx_0000AI4AUFJ0xOlN89U6rp,03/04/2022,08:16:57,Card payment,Apple,🍎 ,Bills,-25.99,GBP,-25.99,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AI4HtBDVzm2RvBpYJd,03/04/2022,09:39:53,Card payment,Arriva,🚌,Transport,-2.70,GBP,-2.70,GBP,,24 Barnsley Road,,ARRIVA YORKSHIRE LIMIT WAKEFIELD     GBR,
tx_0000AI6WjGhcdG6v79U0Oo,04/04/2022,11:35:36,Faster payment,ALI A & GHAFFAR,,Transfers,2.00,GBP,2.00,GBP,Monzo shahzar,,,Monzo shahzar,
tx_0000AIDKpffUstIG4bImfJ,07/04/2022,18:25:16,Faster payment,ALI A & GHAFFAR,,Transfers,25.00,GBP,25.00,GBP,Monzo shahzar,,,Monzo shahzar,
tx_0000AIDMbUkCu1aw9Iaxub,07/04/2022,18:45:07,Card payment,Chopan Restaurant 0,🍽,Eating out,-17.00,GBP,-17.00,GBP,,219 Roundhay Road,,CHOPAN RESTAURANT 0    BRADFORD      GBR,
tx_0000AIDN5IjO8GFreXaJKj,07/04/2022,18:50:30,Faster payment,S Ali,,Transfers,8.98,GBP,8.98,GBP,S Ali,,,S Ali,
tx_0000AIDN8Lsorw47IicAaI,07/04/2022,18:51:03,Card payment,Shai Nan Kebab,🍴,Eating out,-10.50,GBP,-10.50,GBP,,234 Roundhay Road,,SHAI NAN KEBAB         LEEDS LS8     GBR,
tx_0000AIDoOY0EH3aX6YyvtB,07/04/2022,23:56:31,Faster payment,S Ali,,Transfers,60.00,GBP,60.00,GBP,S Ali,,,S Ali,
tx_0000AIDoTfmOmsUCqhq3gv,07/04/2022,23:57:27,Card payment,O2,📱,Bills,-13.53,GBP,-13.53,GBP,,,,O2                     LEEDS         GBR,
tx_0000AIDoVD4mTedaPEAa25,07/04/2022,23:57:44,Card payment,O2,📱,Bills,-40.42,GBP,-40.42,GBP,,,,O2                     LEEDS         GBR,
tx_0000AIDoguYHAxPy0hz3NR,07/04/2022,23:59:50,Faster payment,S Ali,,Transfers,69.08,GBP,69.08,GBP,S Ali,,,S Ali,
tx_0000AIHUSUDl3WiVWX1OzL,09/04/2022,18:31:59,Card payment,Chicken Hut,🍴,Eating out,-14.50,GBP,-14.50,GBP,,226 Roundhay Road,,SumUp  *Chicken hut    Leeds         GBR,
tx_0000AIInf28mrRH5stMmUz,10/04/2022,09:41:51,Card payment,Uber,🚖,Transport,-13.30,GBP,-13.30,GBP,,,,UBR* PENDING.UBER.COM  London        GBR,
tx_0000AIIpLJ9M6yZpteOWMF,10/04/2022,10:00:42,Card payment,Uber,🚖,Transport,-5.05,GBP,-5.05,GBP,,,,UBR* PENDING.UBER.COM  London        GBR,
tx_0000AIIqc6Nmvu1edVfBZK,10/04/2022,10:14:56,Card payment,Uber,🚖,Transport,-0.55,GBP,-0.55,GBP,,,,UBER   *TRIP           London        GBR,
tx_0000AIIvO3nmENR3CCXIgL,10/04/2022,11:08:25,Card payment,Uber,🚖,Transport,-6.97,GBP,-6.97,GBP,,,,UBR* PENDING.UBER.COM  London        GBR,
tx_0000AIIyBw7LH94Py9TIDi,10/04/2022,11:39:51,Pot transfer,Mum’s birthday Gift Pot,,Transfers,-5.00,GBP,-5.00,GBP,,,,,
tx_0000AIJ56g7639llV0KWJe,10/04/2022,12:57:20,Card payment,Uber,🚖,Transport,-6.58,GBP,-6.58,GBP,,,,UBR* PENDING.UBER.COM  London        GBR,
tx_0000AIJ56lqejC8yKOsRww,10/04/2022,12:57:21,Pot transfer,Mum’s birthday Gift Pot,,Savings,-0.42,GBP,-0.42,GBP,,,,Round up,
tx_0000AIJJegUSYPBQwCpkxN,10/04/2022,15:40:21,Card payment,Apple,🍎 ,Bills,-25.99,GBP,-25.99,GBP,,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,
tx_0000AIJJejSnV2C0UVctLG,10/04/2022,15:40:21,Pot transfer,Mum’s birthday Gift Pot,,Savings,-0.01,GBP,-0.01,GBP,,,,Round up,
tx_0000AIJNDspYxpzAzRJ6Qc,10/04/2022,16:20:20,Faster payment,ALI A & GHAFFAR,,Transfers,30.00,GBP,30.00,GBP,Monzo shahzar,,,Monzo shahzar,
tx_0000AIJPiajWV3aQtrex5l,10/04/2022,16:48:17,Card payment,Karim Brothers 2,🍎,Groceries,-18.36,GBP,-18.36,GBP,,,,KARIM BROTHERS 2       LEEDS         GBR,
tx_0000AIJPidvKdbTcIxU8Dy,10/04/2022,16:48:18,Pot transfer,Mum’s birthday Gift Pot,,Savings,-0.64,GBP,-0.64,GBP,,,,Round up,
tx_0000AILfUbTkuy4Yk1YXyr,11/04/2022,18:54:28,Faster payment,S Ali,,Transfers,50.00,GBP,50.00,GBP,S Ali,,,S Ali,
tx_0000AILfYWcKw1z6KbiXP0,11/04/2022,18:55:10,Card payment,FoodHub,🌮🍕🥘,Eating out,-18.76,GBP,-18.76,GBP,,,,WWW.TAKEAWAY.JE        GUERNSEY      GBR,
tx_0000AILfYaeFwpCYAdxglV,11/04/2022,18:55:11,Pot transfer,Mum’s birthday Gift Pot,,Savings,-0.24,GBP,-0.24,GBP,,,,Round up,
tx_0000AILfxzv382AY0NnzVa,11/04/2022,18:59:46,Faster payment,Noreen Ghaffar,,Transfers,50.00,GBP,50.00,GBP,Noreen Ghaffar,,,Noreen Ghaffar,
tx_0000AILgE1tfXjykkVWykz,11/04/2022,19:02:40,Faster payment,Mr Shahzar Ali,,Transfers,-30.00,GBP,-30.00,GBP,Mr Shahzar Ali,,,Mr Shahzar Ali,
tx_0000AILgaX10Wh7etcjbv7,11/04/2022,19:06:44,Faster payment,Mr Shahzar Ali,,Transfers,-2.00,GBP,-2.00,GBP,Mr Shahzar Ali,,,Mr Shahzar Ali,
tx_0000AINStp9MJeBu8kDyXT,12/04/2022,15:42:47,Card payment,Sk Discount 31,🍎,Groceries,-14.65,GBP,-14.65,GBP,,14A Harehills Road,,PPOINT_*SK Discount 31 Leeds         GBR,
tx_0000AINStsPmB4ULj2ZPOb,12/04/2022,15:42:47,Pot transfer,Mum’s birthday Gift Pot,,Savings,-0.35,GBP,-0.35,GBP,,,,Round up,
